address,operator_address,moniker,tier,allocation
terp1rwyn6w46u3067enhpdceqasg2um8dddtt5ursa,terpvaloper1rwyn6w46u3067enhpdceqasg2um8dddt6tehsv,NODEJUMPER,2,6
terp1s9457pmjeadq0f4vgt4qj68r23uj7jj2yrhkca,terpvaloper1s9457pmjeadq0f4vgt4qj68r23uj7jj24ujzcv,Black Cat,2,6
terp1skeqnjwmjpv50n5lak2kzj6ujz59gu4m6ashlr,terpvaloper1skeqnjwmjpv50n5lak2kzj6ujz59gu4mtz4rlj,"LC closing down on 30-09-2023, please redelegate",2,6
terp1syqau7gee27ml462flvjhxucer6zdy7pvw7a95,terpvaloper1syqau7gee27ml462flvjhxucer6zdy7pa3mf99,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2,6
terp1u6g2pdx2t29rpd5zx7k0qqhlga3jk0p78klh7h,terpvaloper1u6g2pdx2t29rpd5zx7k0qqhlga3jk0p7kf6r7x,TerpXiti,2,6
terp1uc52al69sqxa76r5qea5yct9lwszng8zfnhnmc,terpvaloper1uc52al69sqxa76r5qea5yct9lwszng8zcvj8mf,Shutting down 01/2025,2,6
terp1un9ar4a0sqkcxwnxc43x3xq6yppc9d6n0hvsx5,terpvaloper1un9ar4a0sqkcxwnxc43x3xq6yppc9d6n7gfyx9,Test1,2,6
terp1v3wjkc94lpq5g7k26d9y87ehh36fm4mx5waggp,terpvaloper1v3wjkc94lpq5g7k26d9y87ehh36fm4mx93cugs,Please UNDELEGATE,2,6
terp1v8c89msfexse77nl9yjml8kn4kd0apr47pxnlj,terpvaloper1v8c89msfexse77nl9yjml8kn4kd0apr407r8lr,skynodejs,2,6
terp1vlfkzyfe56um24jx9zp96t4v957wr4wtnm9p6t,terpvaloper1vlfkzyfe56um24jx9zp96t4v957wr4wtzyq466,Keqing,2,6
terp1w6yzswlclrh5emqefd3tvhhvvctspysydex5f2,terpvaloper1w6yzswlclrh5emqefd3tvhhvvctspysyuxrqfm,haciyatmaz,2,6
terp1wwgrl05jkk3a3m9gm0wwmvq3r0fd93p86p5y5h,terpvaloper1wwgrl05jkk3a3m9gm0wwmvq3r0fd93p8t73s5x,Hexnodes,2,6
terp1xld22uyeltlmep89m5dxz4aacrumka46upgr8f,terpvaloper1xld22uyeltlmep89m5dxz4aacrumka46d7dh8c,Apeiron Nodes DAO🔗|100% Uptime,2,6
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum,terpvaloper1y64wre98vqyfldmg626x0g34hll7ksdhqqd4u2,StingRay,2,6
terp1zhweh0qv72twxf3s22dpg23w9f2vzelmcum3au,terpvaloper1zhweh0qv72twxf3s22dpg23w9f2vzelmfr79ad,"Shutting Down, Please Redelegate",2,6
terp1zj70sat2fevu68hstfl0le5e0c5efg5mrfz73d,terpvaloper1zj70sat2fevu68hstfl0le5e0c5efg5mjk823u,vinjan,2,6
terp100tk3h9qwulflqu2gj0pgvzfrgtavm5jnf7zek,,,1,3
terp103l025fw2x7d8k8px7d07vu667x0h5p5trem5c,,,1,3
terp10g4rhdx7j8vcysdwtfhknh5dj9lqu5870jxrgg,,,1,3
terp10qmxtp4shzn0y7j0sce36zddu9ku4wucvujmj4,,,1,3
terp10rpv2hdmw5mta0akn9sg2uud45hhc5l743c942,,,1,3
terp122hjrmj8k2f0lc0m8nepdysgx9f2gan2azavda,,,1,3
terp122xnz0c6e529qnns8prf5997eup4wauklffsvy,,,1,3
terp12736ed7frh0uxwv2tm29qz8v30fe03kqef0a2e,,,1,3
